MUNICIPALITY,CRASH_MONTH,DAY_OF_WEEK,TIME_OF_DAY,HOUR_OF_DAY,ILLUMINATION,WEATHER,ROAD_CONDITION,COLLISION_TYPE,RELATION_TO_ROAD,PERSON_COUNT,VEHICLE_COUNT,AUTOMOBILE_COUNT,MOTORCYCLE_COUNT,SMALL_TRUCK_COUNT,HEAVY_TRUCK_COUNT,SUV_COUNT,VAN_COUNT,BICYCLE_COUNT,FATAL_COUNT,INJURY_COUNT,MIN_INJ_COUNT,UNK_INJ_DEG_COUNT,UNK_INJ_PER_COUNT,UNBELTED_OCC_COUNT,PED_DEATH_COUNT,PED_MAJ_INJ_COUNT,COMM_VEH_COUNT,MAX_SEVERITY_LEVEL,DRIVER_COUNT_16YR,DRIVER_COUNT_17YR,DRIVER_COUNT_18YR,DRIVER_COUNT_19YR,DRIVER_COUNT_20YR,DRIVER_COUNT_50_64YR,DRIVER_COUNT_65_74YR,DRIVER_COUNT_75PLUS,lat,long,DEC_LAT,DEC_LONG
2118,5,2,1632,16,1,1,0,1,1,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,40 30:07.304,79 59:06.373,40.502,-79.9851
2126,5,2,1237,12,1,1,0,1,1,3,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,40 29:03.095,80 07:20.181,40.4842,-80.1223
2301,2,3,1655,16,4,1,1,1,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,40 26:33.290,80 01:27.164,40.4426,-80.0242
2464,2,4,2330,23,3,4,4,1,1,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40 36:18.761,79 45:26.492,40.6052,-79.7574
2208,3,7,1240,12,1,1,0,4,2,5,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,40 32:42.178,79 50:17.403,40.545,-79.8382
2435,2,7,1400,14,1,1,0,1,1,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,40 24:58.057,80 03:31.994,40.4161,-80.0589
2413,1,2,1825,18,3,4,1,2,1,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,40 21:49.637,79 59:02.640,40.3638,-79.9841
2105,1,4,814,8,1,1,0,4,1,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,40 14:27.178,79 51:36.419,40.2409,-79.8601
2448,2,5,332,3,3,1,1,7,5,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40 24:32.318,79 53:46.124,40.409,-79.8961
2419,2,1,1723,17,1,1,0,1,1,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40 25:52.859,79 50:20.661,40.4313,-79.8391
2113,4,5,2100,21,2,2,1,7,4,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,40 29:39.704,79 49:38.436,40.4944,-79.8273
2416,4,7,1423,14,1,1,0,4,1,2,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,40 21:29.970,80 01:43.312,40.3583,-80.0287
2446,4,5,1403,14,1,1,1,4,1,3,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,1,1,40 25:38.996,79 45:04.374,40.4275,-79.7512
2301,4,5,1535,15,1,1,0,1,1,5,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,40 26:18.704,80 00:21.532,40.4385,-80.006
2407,5,3,1326,13,1,1,0,4,1,4,2,2,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,40 20:53.006,80 03:09.661,40.3481,-80.0527
2203,2,2,1545,15,1,1,1,4,1,2,2,1,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,40 30:46.166,80 16:12.856,40.5132,-80.2698
2220,2,1,1835,18,3,1,0,0,5,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,40 39:34.103,79 50:40.007,40.6595,-79.8444
