DEC_LAT,DEC_LONG
40.3867,-80.0923
40.6664,-80.1019
40.4462,-79.7595
40.5022,-79.9449
40.3539,-79.9149
40.4254,-79.908
40.4587,-79.9984
40.4595,-80.0305
40.4884,-80.3382
40.4453,-79.8494
40.4724,-79.9591
40.3499,-79.948
40.492,-80.01
40.5555,-80.0792
40.5303,-79.9549
40.4033,-80.0554
40.4287,-79.9897
40.4563,-80.0131
40.4436,-79.9953
40.3732,-79.7933
40.4852,-79.8568
40.4732,-80.073
40.465,-79.9384
40.3572,-79.8328
40.4422,-80.023
40.4951,-79.914
40.5409,-79.7948
40.5217,-80.046
40.3277,-80.041
40.5768,-79.7783
40.4541,-79.9123
40.3871,-80.2064
40.5154,-80.119
40.3477,-79.9517
40.5242,-80.1162
40.3172,-79.9947
40.5535,-79.9713
40.439,-79.9956
40.4591,-79.9078
40.4757,-80.0364
40.5417,-79.8397
40.4456,-79.9986
40.4266,-79.9632
40.4529,-79.9071
40.3519,-79.8652
40.4491,-79.9871
40.4081,-79.9424
40.5163,-80.1974
40.4896,-79.9297
40.359,-80.0287
40.4885,-79.8831
40.4577,-79.8432
40.3657,-80.0708
40.5765,-80.0258
40.4935,-80.0112
40.3697,-79.9128
40.4785,-79.7525
40.4569,-79.9551
40.4746,-79.9304
40.2902,-79.8357
40.4084,-79.9401
40.462,-79.9066
40.4576,-79.8434
40.4129,-79.9085
40.383,-79.996
40.2796,-79.9089
40.4231,-80.0304
40.3853,-79.8027
40.4588,-79.9079
40.4833,-80.0042
40.3848,-79.8238
40.3367,-80.0476
40.4067,-79.9923
40.4029,-79.9101
40.4297,-79.9805
40.3477,-79.9517
40.567,-79.7855
40.3962,-79.9874
40.4293,-79.9992
40.6558,-79.8889
40.4453,-79.9901
40.5409,-79.7948
40.468,-80.0777
40.4196,-80.0114
40.59,-79.7508
40.3597,-79.9056
40.4169,-80.0663
40.3831,-79.9804
40.3849,-79.9942
40.3592,-79.9819
40.478,-79.8458
40.3599,-79.9036
40.5103,-80.2015
40.498,-80.0702
40.4653,-79.7622
40.349,-80.1046
40.4457,-79.9075
40.4771,-79.784
40.4185,-79.7573
40.6085,-80.0526
40.4562,-80.0026
40.4487,-79.8997
40.437,-80.0396
40.4125,-79.9771
40.4381,-79.923
40.515,-79.9529
40.5347,-80.1804
40.532,-80.0116
40.3002,-79.9621
40.4383,-79.8429
40.4805,-79.944
40.4566,-80.0292
40.6157,-80.0942
40.4556,-79.943
40.4395,-80.0097
40.4886,-80.3371
40.375,-80.0873
40.3552,-80.1161
40.5896,-79.956
40.3501,-79.8179
40.4816,-79.8748
40.3519,-80.0112
40.3132,-79.9386
40.5332,-80.1773
40.4704,-79.7548
40.4245,-80.1058
40.4657,-79.8764
40.4916,-80.0612
40.3474,-79.8495
40.4609,-79.867
40.5574,-80.0773
40.5553,-80.0217
40.5517,-79.9588
40.4429,-80.069
40.4389,-79.9624
40.4679,-79.9471
40.3863,-79.9838
40.4343,-79.965
40.5239,-80.035
40.4208,-80.0048
40.4645,-79.9677
40.4102,-80.0246
40.3713,-79.9753
40.3305,-79.9875
40.3544,-79.8424
40.6063,-80.0516
40.459,-79.9658
40.4865,-80.2666
40.4293,-80.0294
40.4558,-80.2292
40.4529,-79.8853
40.4482,-79.9869
40.4618,-80.1399
40.4375,-79.7777
40.4342,-79.9734
40.4352,-79.9934
40.3987,-79.8854
40.5491,-79.8254
40.4582,-79.843
40.4746,-80.0052
40.5515,-80.0828
40.5465,-80.2189
40.3722,-80.0336
40.4441,-79.9935
40.4587,-79.908
40.4403,-79.9656
40.4498,-79.9297
40.2841,-79.8119
40.5382,-80.1784
40.4262,-79.8943
40.4487,-80.167
40.3797,-79.9978
40.4498,-79.9297
40.3335,-80.024
40.3933,-80.0498
40.4087,-79.8952
40.5158,-79.9591
40.2655,-79.8796
40.5462,-79.8321
40.5417,-80.0359
40.3846,-79.9328
40.3481,-80.0261
40.4621,-79.9269
40.4301,-79.8805
40.4329,-79.9627
40.2865,-79.998
40.4654,-79.9567
40.4786,-80.0427
40.4679,-79.8991
40.4371,-79.9986
40.4925,-79.9079
40.4869,-80.0333
40.4541,-79.9123
40.4575,-79.9175
40.4815,-79.8779
40.4435,-80.006
40.613,-79.7572
40.3438,-80.0515
40.5412,-79.7886
40.4442,-79.9808
40.3605,-79.8454
40.4183,-80.0109
40.4262,-79.9398
40.4041,-79.9528
40.4495,-80.0728
40.5279,-79.8798
40.3794,-79.9249
40.5692,-79.7962
40.4422,-80.0339
40.4484,-80.0037
40.4992,-79.8837
40.4386,-80.0061
40.3406,-79.9763
40.4303,-79.8816
40.4279,-79.9262
40.4766,-80.05
40.3413,-80.0224
40.4663,-79.9355
40.5784,-80.1168
40.5344,-80.1799
40.4704,-79.8187
40.4433,-79.9701
40.5369,-80.185
40.4098,-79.8439
40.4817,-79.9183
40.3546,-80.0736
40.4355,-79.9947
40.6195,-79.9447
40.4258,-79.9104
40.4742,-79.9315
40.3715,-79.8483
40.4895,-79.7787
40.2966,-79.9944
40.4294,-79.9323
40.4083,-80.0805
40.5767,-79.8231
40.3404,-79.8877
,
40.4918,-79.9506
40.3843,-79.9829
40.4513,-80.0277
40.439,-80.0155
40.6286,-79.8559
40.6267,-79.9855
40.3444,-79.8377
40.3372,-79.8355
40.3641,-79.8436
40.4656,-79.9359
40.4419,-79.9625
40.651,-79.9364
40.5674,-80.007
40.4274,-79.9474
40.3865,-80.0887
40.4737,-80.0618
40.4347,-79.9955
40.5879,-79.8819
40.4863,-80.2736
40.6123,-80.0543
40.3329,-79.9847
40.6025,-80.094
40.4491,-79.8089
40.5223,-80.0344
40.5156,-80.1594
40.3653,-80.1082
40.2972,-79.9199
40.4302,-80.0966
40.3396,-79.8408
40.6552,-80.0869
40.5036,-80.0811
40.5427,-80.0359
40.4319,-79.8486
40.4299,-79.7513
40.3526,-79.8387
40.5966,-79.9447
40.541,-80.036
40.4727,-79.8581
40.5937,-80.0953
40.4589,-79.8233
40.3559,-80.0458
40.5091,-80.158
40.4742,-79.7677
40.414,-79.9231
40.4793,-79.9219
40.356,-80.0503
40.3677,-80.1798
40.415,-80.0835
40.3513,-79.8667
40.4141,-80.0095
40.5758,-80.0152
40.4904,-79.7832
40.4314,-80.0069
40.4696,-80.2319
40.3551,-80.1162
40.3612,-80.0284
40.4383,-79.9335
40.3154,-80.1016
40.5299,-79.9529
40.5875,-80.0455
40.3695,-79.7835
40.4565,-79.9701
40.4271,-80.0142
40.5693,-80.0374
40.4361,-79.9785
40.5224,-79.9476
40.3625,-79.9634
40.3255,-80.0503
40.4492,-80.0035
40.4984,-80.0646
40.411,-80.0059
40.5219,-80.0482
40.454,-79.8672
40.4497,-80.0251
40.5639,-80.0414
40.4703,-79.9085
40.4657,-79.8764
40.3765,-79.8478
40.4854,-79.9683
40.3751,-80.0279
40.3484,-79.9448
40.5823,-80.0413
40.4786,-79.753
40.4803,-80.0302
40.311,-79.9002
40.4988,-80.067
40.366,-79.9494
40.3169,-80.0641
40.4504,-80.1682
40.4451,-79.8282
40.3576,-80.088
40.4374,-79.9513
40.6161,-80.0929
40.4082,-79.8939
40.433,-80.1913
40.42,-79.9868
40.5306,-80.0098
40.4884,-80.2691
40.4294,-79.8764
40.2764,-79.8911
40.4441,-79.9935
40.465,-80.1524
40.4916,-80.0214
40.3946,-79.8954
40.4062,-79.9784
40.5254,-79.9626
40.3751,-79.994
40.5259,-79.7814
40.4516,-80.0694
40.6457,-80.03
40.2981,-79.8655
40.4698,-80.207
40.4378,-79.7778
40.4109,-80.08
40.4523,-79.9747
40.6173,-79.8315
40.4924,-79.8958
40.397,-79.9787
40.4404,-79.9603
40.5867,-80.0005
40.3863,-80.0841
40.4323,-79.9891
40.3416,-79.9851
40.6378,-79.8933
40.4576,-80.1751
40.3945,-80.0287
40.4879,-80.0139
40.4559,-79.992
40.5453,-80.0359
40.4551,-79.9446
40.3887,-80.0426
40.3617,-80.0641
40.4502,-80.1171
40.461,-79.8195
40.4525,-80.0077
40.4477,-80.0077
40.4658,-79.9053
40.3391,-80.126
40.4257,-79.8936
40.4388,-79.7663
40.4305,-79.7106
40.4323,-79.8651
40.3719,-79.9819
40.3648,-79.9994
40.4634,-79.9539
40.427,-79.7532
40.3859,-79.979
40.4351,-79.998
40.3464,-79.8537
40.5442,-80.0816
40.3951,-79.9868
40.4604,-79.9138
40.4508,-80.1961
40.3178,-79.9624
40.3456,-80.0482
40.5942,-79.9276
40.4221,-79.9867
40.4597,-79.9566
40.4141,-80.0095
40.4177,-80.0454
40.4063,-80.0217
40.3624,-79.9921
40.4284,-80.1064
40.5034,-80.0251
40.5106,-80.0244
40.5492,-79.9718
40.4641,-79.9325
40.5039,-80.0752
40.4177,-79.9812
40.4584,-80.1732
40.4566,-80.0292
40.6326,-79.9957
40.4633,-79.8649
40.4348,-79.9975
40.4288,-79.9853
40.4434,-79.8397
40.3073,-80.0324
40.4606,-79.8728
40.4278,-80.1003
40.5621,-79.8003
40.5322,-80.1888
40.4441,-80.0281
40.3681,-80.1034
40.5084,-80.2035
40.4229,-79.9718
40.3498,-79.8665
40.4587,-79.9579
40.6157,-80.0942
40.5521,-79.9726
40.5446,-80.0359
40.5143,-79.9591
40.4493,-79.9991
40.536,-79.9881
40.4495,-80.1074
40.4492,-79.9013
40.4366,-79.9555
40.4796,-79.9661
40.3654,-80.0707
40.4971,-79.8671
40.6008,-79.7561
40.4142,-80.01
40.346,-80.0273
40.3997,-80.0649
40.3233,-79.8197
40.4109,-80.08
40.3981,-79.9477
40.4241,-80.0306
40.5127,-79.8545
40.4265,-79.9732
40.3627,-79.8744
40.4611,-79.8663
40.6552,-80.0726
40.4447,-79.8962
40.4443,-79.9178
40.3852,-79.9387
40.4768,-79.8472
40.3778,-79.9755
40.4473,-80.0103
40.5281,-79.8798
40.4445,-79.8425
40.3506,-80.0151
40.4271,-79.907
40.4446,-80.0009
40.4254,-80.0018
40.3286,-79.9449
40.4247,-79.985
40.4668,-79.9461
40.4378,-80.0632
40.3707,-79.9144
40.4385,-79.7711
40.5003,-80.0221
40.572,-80.0164
40.5037,-80.2224
40.4147,-80.0618
40.4391,-79.9938
40.4559,-79.9386
40.3981,-80.1044
40.5126,-80.2706
40.3793,-79.807
40.4376,-79.923
40.5408,-79.8331
40.4425,-80.0598
40.5118,-79.9966
40.632,-80.0007
40.4164,-79.9469
40.4468,-79.9506
40.5157,-80.2194
40.4564,-79.9406
40.4532,-79.9927
40.514,-80.2223
40.4597,-79.8741
40.5276,-79.8126
40.6097,-80.0946
40.5582,-80.0233
40.4785,-79.9674
40.4588,-79.9728
40.4656,-79.9477
40.4312,-79.8728
40.4347,-80.0347
40.3493,-80.0517
40.3134,-80.0668
40.5193,-79.7741
40.4105,-79.9553
40.4539,-80.2402
40.4269,-80.0222
40.385,-79.8627
40.3605,-79.9077
40.4342,-79.9897
40.4413,-80.1573
40.4156,-80.06
40.2723,-79.9002
40.5122,-79.8434
40.4528,-79.9491
40.402,-80.0006
40.4723,-80.0624
40.3879,-79.9455
40.525,-80.2128
40.3468,-79.9736
40.495,-79.9366
40.4286,-80.1061
40.3394,-80.0867
40.417,-80.0241
40.4882,-79.7112
40.4419,-79.9194
40.6087,-80.0527
40.4531,-79.9803
40.3576,-80.1052
40.3609,-79.8452
40.4954,-80.0662
40.4649,-79.9363
40.5255,-80.0698
40.4373,-79.759
40.4751,-80.0959
40.4264,-80.0574
40.4266,-79.9175
40.4496,-80.1187
40.4395,-80.0102
40.4288,-79.9333
40.5104,-80.0968
40.4554,-79.9253
40.5464,-79.8022
40.4412,-80.0469
40.4969,-80.0581
40.6196,-79.8336
40.353,-79.9619
40.5705,-80.2152
40.4393,-80.0808
40.4285,-79.9464
40.4256,-79.907
40.4441,-80.0281
40.5524,-80.1454
40.3482,-79.9473
40.4487,-79.9894
40.5682,-80.0223
40.4428,-80.0089
40.584,-80.1026
40.4427,-80.16
40.424,-80.0109
40.5722,-79.789
40.4482,-79.9869
40.4471,-79.9473
40.4489,-79.9618
40.5915,-80.0533
40.4366,-80.1435
40.326,-79.7934
40.387,-80.0942
40.4745,-79.9715
40.4402,-80.0344
40.4522,-80.0528
40.3542,-79.8365
40.3283,-80.0664
40.3702,-79.8018
40.4969,-80.0185
40.3295,-80.1354
40.3391,-79.9681
40.4426,-79.9622
40.5621,-79.9593
40.346,-79.9822
40.3736,-80.034
40.5838,-79.7797
40.4017,-80.043
40.4084,-80.0178
40.5388,-79.84
40.6573,-79.9347
40.4524,-79.9377
40.4101,-79.9177
40.4643,-79.8975
40.4323,-79.8651
40.4138,-79.997
40.4705,-79.961
40.4263,-79.9636
40.4357,-79.9723
40.5131,-80.0331
40.3402,-79.9673
40.476,-80.0545
40.479,-79.7323
40.4477,-80.1643
40.4724,-80.0617
40.4538,-79.9955
40.4282,-79.9714
40.3361,-79.8669
40.4494,-80.0009
40.4278,-79.9698
40.4766,-79.7883
40.4498,-79.8442
40.6695,-79.7146
40.4585,-79.9011
40.3518,-79.8622
40.4982,-80.0537
40.6633,-79.7288
40.4916,-80.0612
40.4498,-79.9297
40.4532,-79.8268
40.4767,-79.7882
40.3195,-80.0866
40.438,-80.0539
40.4572,-79.9341
40.6176,-79.9456
40.5466,-79.9613
40.6416,-80.0634
40.4666,-79.9824
40.5246,-79.8367
40.411,-79.9555
40.4483,-80.0043
40.4398,-80.0913
40.5378,-79.8345
40.4152,-79.9906
40.3325,-80.0695
40.4156,-80.0111
40.4442,-79.9933
40.4725,-79.8197
40.4775,-79.9687
40.5923,-80.0033
40.4295,-80.1333
40.3328,-79.9849
40.5497,-79.9598
40.5657,-80.2108
40.5444,-80.0615
40.4471,-79.9473
40.4216,-79.9247
40.4202,-79.8508
40.3669,-80.1055
40.4373,-79.7708
40.4559,-79.9386
40.5305,-80.011
40.4947,-80.2068
40.42,-80.036
40.4753,-80.0649
40.4343,-79.9965
40.5132,-79.8433
40.4646,-79.98
40.4345,-80.0372
40.4284,-79.9735
40.4585,-79.9432
40.4052,-79.829
40.5393,-80.2724
40.646,-79.7401
40.4328,-79.7392
40.3951,-79.8897
40.3807,-79.8122
40.4895,-79.8199
40.4616,-79.9234
40.3507,-79.8343
40.4441,-80.0281
40.3814,-79.8132
40.4333,-79.7602
40.4293,-79.9992
40.5441,-80.0296
40.444,-79.9256
40.406,-79.8432
40.4532,-79.8911
40.449,-79.9519
40.397,-79.9989
40.3829,-79.8573
40.4686,-80.0521
40.4656,-80.0663
40.4385,-80.012
40.6496,-79.9369
40.4069,-79.9134
40.4123,-79.9227
40.3429,-80.0241
40.4736,-79.8523
40.3602,-79.9945
40.4678,-80.2403
40.6058,-80.0869
40.3253,-80.0162
40.389,-79.8308
40.3666,-79.7779
40.6379,-80.0639
